ID,lat,lon,Station,state or country,country,Years,Range,
TPH,38.05,-117.09,Tonopah, Nevada , United States ,30.3,1980-1981 1993-2020 ,
CHO,38.14,-78.45,Charlottesville, Virginia , United States ,29.7,1961-1964 1973-1977 1999-2020 ,
SDF,38.18,-85.74,Louisville, Kentucky , United States ,89.9,1930-2020 ,
SUU,38.27,-121.93,Fairfield, California , United States ,74.6,1944-1970 1973-2020 ,
PUB,38.29,-104.5,Pueblo, Colorado , United States ,1.9,2019-2020 ,
NHK,38.3,-76.42,Patuxent River, Maryland , United States ,73.1,1945-2004 2007-2020 ,
SBY,38.34,-75.51,Salisbury, Maryland , United States ,62.9,1949-1958 19601961 1968-2020 ,
HTS,38.37,-82.56,Huntington, West Virginia , United States ,58.7,1962-2020 ,
CRW,38.38,-81.59,Charleston, West Virginia , United States ,71.8,1949-2020 ,
NYG,38.5,-77.31,Quantico, Virginia , United States ,58.1,1945-1946 1953-1971 1973-1975 1985-2020 ,
SAC,38.51,-121.5,Sacramento, California , United States ,65.1,1948-1986 1995-2020 ,
STL,38.75,-90.37,St. Louis, Missouri , United States ,75.8,1945-2020 ,
SLN,38.8,-97.65,Salina, Kansas , United States ,68.1,1943-1964 1973-2020 ,
COS,38.81,-104.69,Colorado Springs, Colorado , United States ,77.6,1943-2020 ,
COU,38.82,-92.22,Columbia, Missouri , United States ,88.9,1930 1932-2020 ,
DCA,38.85,-77.04,Washington (Reagan), D.C. , United States ,82.9,1938-2020 ,
RSL,38.88,-98.81,Russell, Kansas , United States ,72.7,1943-1945 1950-2020 ,
EKN,38.89,-79.85,Elkins, West Virginia , United States ,42.3,1948-1954 1962-1968 1977-1980 1983 1996-2020 ,
IAD,38.94,-77.45,Washington (Dulles), Virginia , United States ,58,1963-2020 ,
CVG,39.04,-84.67,Covington, Kentucky , United States ,72.9,1948-2020 ,
TOP,39.07,-95.63,Topeka, Kansas , United States ,72.7,1948-2020 ,
BAB,39.13,-121.43,Marysville, California , United States ,52,1960-1970 1973-1989 1991-2000 2008-2020 ,
UKI,39.13,-123.2,Ukiah, California , United States ,47.2,1950-1964 1973-1981 1993-1995 2001-2020 ,
GJT,39.13,-108.54,Grand Junction, Colorado , United States ,72.8,1948-2020 ,
BWI,39.17,-76.68,Baltimore, Maryland , United States ,75.9,1945-2020 ,
MCI,39.3,-94.73,Kansas City, Missouri , United States ,48.1,1973-2020 ,
ELY,39.3,-114.85,Ely, Nevada , United States ,67.2,1953-2020 ,
